Sensor_ID,Tag_Name
[9:67],Loop_HeightStand 15-16
[9:68],Loop_Height Stand 16-17
[9:69],Loop_Height Stand 17-18
[9:70],Mill Discharge time
[9:71],BC Billet discharge delay after billet discharge command
[9:73],RT_2_FEA_ACT_SPEED
[9:74],RT_1_FEA_SET_SPEED
[9:75],RT_2_FEA_SET_SPEED
[9:76],FFB Line 1 Loop Height
[9:77],FFB Line 2 Loop Height
[9:80],BILLCALL-WRK_DB.DischargeDelay
[9:81],BILLCALL-WRK_DB.DischDelayCnt
[9.16],Stand 12 downstream looper lifting command
[9.17],Stand 13 downstream looper lifting command
[9.18],Stand 14 downstream looper lifting command
[9.19],Stand 15 downstream looper lifting command
[9.20],Stand 16 downstream looper lifting command
[9.21],Stand 17 downstream looper lifting command
[9.27],Billet call command
[9.29],Stand 9 downstream looper lifting command
[9.30],Stand 10 downstream looper lifting command
[9.31],Stand 11 downstream looper lifting command
[9.54],Billet call enable
[9.55],Call time elapsed
[9.59],Billet discharge command
[9.70],Looper FFB L2 HMD 27 Status
[9.72],Billet in last position
[9.73],BILLET CALL CMD to FURNACE
[9.76],FFB Line 1 Looper Cmd
[9.77],FFB Line 2 Looper Cmd
[9.226],Ghost Rolling
[10:0],BILLCALL-WRK_DB.SetInterbillet
[10:1],BILLCALL-WRK_DB.RouInterbilletCnt
[10:2],BILLCALL-WRK_DB.CallTimeCnt
[10:3],BILLCALL-WRK_DB.BilletCallTime
[10:4],BILLCALL-WRK_DB.RouRollTimeCnt
[10:5],CurrentBilletRollingTimeInStand1
[10:6],LastBilletRollingTimeInStand1
[10:7],Fce_Delay
[10:22],BilletDelay
[10:29],RT2 REF SPEED
[10:30],RT1_1 REF SPEED
[11:9],STAND_1_ACT_ELONGATION
[11:10],STAND_2_ACT_ELONGATION
[11:11],STAND_3_ACT_ELONGATION
[11:12],STAND_4_ACT_ELONGATION
[11:13],STAND_5_ACT_ELONGATION
[11:14],STAND_6_ACT_ELONGATION
[11:15],STAND_7_ACT_ELONGATION
[11:16],STAND_8_ACT_ELONGATION
[11:17],STAND_9_ACT_ELONGATION
[11:18],STAND_10_ACT_ELONGATION
[11:19],STAND_11_ACT_ELONGATION
[11:20],STAND_12_ACT_ELONGATION
[11:21],STAND_13_ACT_ELONGATION
[11:22],STAND_14_ACT_ELONGATION
[11:23],STAND_15_ACT_ELONGATION
[11:24],STAND_16_ACT_ELONGATION
[11:25],STAND_17_ACT_ELONGATION
[11:26],STAND_18_ACT_ELONGATION
[12:19],FFB Line 1 Torque Act
[12:20],FFB Line 1 RPM Act
[12:21],FFB Line 1 Line Speed
[12:22],FFB Line 2 Torque Act
[12:23],FFB Line 2 RPM Act
[12:24],FFB Line 2 Line Speed
[12:42],Stand 16 current
[12:43],Stand 18 current
[12:44],Master speed percentage
[12:53],Stand 01 current
[12:54],Stand 02 current
[12:55],Stand 03 current
[12:56],Stand 04 current
[12:57],Stand 05 current
[12:58],Stand 06 current
[12:59],Stand 07 current
[12:60],Stand 08 current
[12:61],Stand 09 current
[12:62],Stand 10 current
[12:63],Stand 11 current
[12:64],Stand 12 current
[12:65],Stand 13 current
[12:66],Stand 14 current
[12:67],Stand 15 current
[12:68],Stand 17 current
[12:69],FFB1 Motor Current
[12:70],FFB2 Motor Current
[12:71],PR0 Motor Current
[12:72],PR0 Motor Torque
[12:73],PR0 Motor RPM
[13:0],STAND 1 ENTRY BILLET TEMPERATURE
[17:0],TB2B Actual Torque
[17:2],TB 1A Actual Torque
[17:3],TB1B Actual Torque
[17:6],TB1A_Actual Speed
[17:7],TB1B_Actual Speed
[17:9],TB2A_Actual Speed
[17:12],TB2B_Actual Speed
[17:13],TWC1A Act Pos
[17:14],TWC1B Act Pos
[17:15],TWC2A Act Pos
[17:16],TWC2B Act Pos
[17:17],TB2A Actual Torque
[17:18],TB1A Actual rolls pressure
[17:19],TB2A Actual rolls pressure
[17:20],TB2B Actual rolls pressure
[17:21],TB1B Actual rolls pressure
[17:28],TB2A Head Pos
[17:29],TB2A Tail Pos
[17:30],TB2B Head Pos
[17:31],TB2B Tail Pos
[17:33],TB1A Head Pos
[17:34],TB1A Tail Pos
[17:35],TB1B Head Pos
[17:36],TB1B Tail Pos
[17:47],TB1A Motor Current
[17:48],TB1B Motor Current
[17:49],TB2A Motor Current
[17:50],TB2B Motor Current
[17:52],TWC 2A Speed feedback
[17:54],TWC 2B Speed feedback
[17:56],TWC 1A Speed feedback
[17:58],TWC 1B Speed feedback
[17:59],TWC1A Torque Feedback
[17:60],TWC1B Torque Feedback
[17:61],TWC2A Torque Feedback
[17:62],TWC2B Torque Feedback
[17:63],TWCH_1A Safety time
[17:64],TWCH_1B Safety time
[17:65],TWCH_2A Safety time
[17:66],TWCH_2B Safety time
