,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
58,59,TMT-16 mm /SeQR-550D,C104203,Line-2--2,253,597,695,1.1641541038525962,18.25,0.23,0.79,0.212,0.017,0.015,0.3616666666666667,20-07-2025,17:20:00
59,60,TMT-16 mm /SeQR-550D,C104203,Line-2--4,253,590,698,1.1830508474576271,20.5,0.22,0.86,0.216,0.03,0.013,0.36333333333333334,20-07-2025,17:20:00
60,61,TMT-16 mm /SeQR-550D,C104203,Line-1--1,253,593,692,1.1669477234401349,19.375,0.23,0.84,0.219,0.031,0.016,0.37,20-07-2025,17:20:00
61,62,TMT-16 mm /SeQR-550D,C104203,Line-1--3,253,591,700,1.1844331641285957,24.625,0.23,0.85,0.225,0.031,0.016,0.3716666666666667,20-07-2025,17:20:00
