,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
106,107,TMT-16 mm /EQR-500D,C104440,Line-2--2,413,576,691,1.1996527777777777,23.125,0.27,0.82,0.2,0.013,0.014,0.4066666666666667,23-07-2025,11:20:00
107,108,TMT-16 mm /EQR-500D,C104440,Line-2--4,413,561,678,1.2085561497326203,18.75,0.26,0.77,0.185,0.019,0.015,0.3883333333333333,23-07-2025,11:20:00
108,109,TMT-16 mm /EQR-500D,C104440,Line-1--1,413,577,693,1.2010398613518198,16.25,0.25,0.8,0.193,0.019,0.015,0.3833333333333333,23-07-2025,11:20:00
109,110,TMT-16 mm /EQR-500D,C104440,Line-1-3,413,564,681,1.2074468085106382,18.75,0.25,0.8,0.187,0.018,0.013,0.3833333333333333,23-07-2025,11:20:00
