,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
24,25,TMT-16 mm /FE-550D,C104139,Line-2--2,555,582,681,1.1701030927835052,19.625000000000004,0.23,0.86,0.22,0.018,0.014,0.37333333333333335,19-07-2025,12:40:00
25,26,TMT-16 mm /FE-550D,C104139,Line-2--4,555,588,688,1.1700680272108843,20.250000000000004,0.24,0.85,0.215,0.009,0.014,0.38166666666666665,19-07-2025,12:40:00
26,27,TMT-16 mm /FE-550D,C104139,Line-1--1,555,599,699,1.1669449081803005,20.625,0.2,0.85,0.224,0.024,0.017,0.3416666666666667,19-07-2025,12:40:00
27,28,TMT-16 mm /FE-550D,C104139,Line-1--3,555,607,706,1.1630971993410215,21.875,0.24,0.84,0.212,0.008,0.013,0.38,19-07-2025,12:40:00
