,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
12,13,TMT-16 mm /FE-550D,C104080,Line-1--1,153,599,731,1.2203672787979967,21.5,0.26,0.93,0.274,0.017,0.014,0.41500000000000004,17-07-2025,16:18:00
13,14,TMT-16 mm /FE-550D,C104080,Line-1--3,153,608,726,1.194078947368421,20.75,0.26,0.94,0.276,0.018,0.015,0.41666666666666663,17-07-2025,16:18:00
14,15,TMT-16 mm /FE-550D,C104080,Line-2--6,153,602,719,1.1943521594684385,20.75,0.27,0.93,0.274,0.018,0.014,0.42500000000000004,17-07-2025,16:18:00
15,16,TMT-16 mm /FE-550D,C104080,Line-2--8,153,599,717,1.1969949916527547,23.625,0.2,0.86,0.215,0.021,0.018,0.3433333333333334,17-07-2025,16:18:00
