,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
28,29,TMT-16 mm /FE-550D,C104139,Line-1--1,556,591,696,1.1776649746192893,21.875,0.23,0.86,0.217,0.019,0.014,0.37333333333333335,19-07-2025,13:05:00
29,30,TMT-16 mm /FE-550D,C104139,Line-1--3,556,586,695,1.1860068259385665,22.125000000000004,0.19,0.72,0.197,0.014,0.016,0.31,19-07-2025,13:05:00
30,31,TMT-16 mm /FE-550D,C104139,Line-2--6,556,574,682,1.1881533101045296,20.749999999999993,0.23,0.86,0.191,0.02,0.007,0.37333333333333335,19-07-2025,13:05:00
31,32,TMT-16 mm /FE-550D,C104139,Line-2--8,556,587,692,1.1788756388415673,20.374999999999996,0.17,0.66,0.171,0.012,0.013,0.28,19-07-2025,13:05:00
