,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
66,67,TMT-16 mm /SeQR-550D,C104247,Line-1--1,348,605,711,1.175206611570248,18.25,0.22,0.86,0.221,0.017,0.012,0.36333333333333334,21-07-2025,10:33:00
67,68,TMT-16 mm /SeQR-550D,C104247,Line-1--3,348,606,709,1.16996699669967,17.5,0.23,0.85,0.227,0.015,0.015,0.3716666666666667,21-07-2025,10:33:00
68,69,TMT-16 mm /SeQR-550D,C104247,Line-2--6,348,596,698,1.1711409395973154,16.875,0.21,0.76,0.207,0.029,0.011,0.33666666666666667,21-07-2025,10:33:00
69,70,TMT-16 mm /SeQR-550D,C104247,Line-2-8,348,589,694,1.1782682512733447,19.875,0.23,0.8,0.225,0.009,0.018,0.36333333333333334,21-07-2025,10:33:00
