,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
122,123,TMT-16 mm /EQR-500D,C104448,Line-1--1,58,541,642,1.1866913123844731,20.625,0.24,0.89,0.197,0.015,0.012,0.3883333333333333,23-07-2025,14:44:00
123,124,TMT-16 mm /EQR-500D,C104448,Line-1--3,58,553,652,1.1790235081374323,19.375,0.23,0.87,0.189,0.016,0.011,0.375,23-07-2025,14:44:00
124,125,TMT-16 mm /EQR-500D,C104448,Line-2--6,58,543,652,1.2007366482504604,22.5,0.24,0.88,0.194,0.018,0.014,0.38666666666666666,23-07-2025,14:44:00
125,126,TMT-16 mm /EQR-500D,C104448,Line-2--8,58,561,664,1.1836007130124777,21.125,0.24,0.88,0.194,0.019,0.015,0.38666666666666666,23-07-2025,14:44:00
