,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
0,1,TMT-16 mm /FE-550D,C104082,Line-2--2,240,600,705,1.175,21.25,0.23,0.91,0.225,0.017,0.014,0.3816666666666667,17-07-2025,13:05:00
1,2,TMT-16 mm /FE-550D,C104082,Line-2--4,240,599,700,1.1686143572621035,21.125,0.23,0.93,0.22,0.016,0.011,0.385,17-07-2025,13:05:00
2,3,TMT-16 mm /FE-550D,C104082,Line-1--1,240,609,712,1.1691297208538587,20.625,0.22,0.93,0.23,0.018,0.014,0.375,17-07-2025,13:05:00
3,4,TMT-16 mm /FE-550D,C104082,Line-1--3,240,596,698,1.1711409395973154,21.125,0.23,0.94,0.235,0.009,0.013,0.38666666666666666,17-07-2025,13:05:00
