,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
74,75,TMT-16 mm /SeQR-550D,C104252,Line-1--1,547,610,715,1.1721311475409837,19.75,0.23,0.85,0.206,0.017,0.02,0.3716666666666667,21-07-2025,13:03:00
75,76,TMT-16 mm /SeQR-550D,C104252,Line-1--3,547,606,711,1.1732673267326732,19.25,0.22,0.83,0.203,0.01,0.021,0.35833333333333334,21-07-2025,13:03:00
76,77,TMT-16 mm /SeQR-550D,C104252,Line-2--6,547,595,702,1.1798319327731093,20.25,0.23,0.84,0.208,0.017,0.022,0.37,21-07-2025,13:03:00
77,78,TMT-16 mm /SeQR-550D,C104252,Line-2-8,547,592,697,1.177364864864865,20.0,0.23,0.86,0.211,0.017,0.02,0.37333333333333335,21-07-2025,13:03:00
