,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
110,111,TMT-16 mm /EQR-500D,C104440,Line-1--1,414,564,683,1.2109929078014185,19.875,0.24,0.78,0.182,0.02,0.014,0.37,22-07-2025,11:30:00
111,112,TMT-16 mm /EQR-500D,C104440,Line-1--3,414,564,680,1.2056737588652482,19.75,0.25,0.78,0.183,0.02,0.015,0.38,22-07-2025,11:30:00
112,113,TMT-16 mm /EQR-500D,C104440,Line-2--6,414,570,680,1.1929824561403508,20.0,0.25,0.86,0.224,0.019,0.02,0.3933333333333333,22-07-2025,11:30:00
113,114,TMT-16 mm /EQR-500D,C104440,Line-2--8,414,569,680,1.195079086115993,21.749999999999996,0.25,0.87,0.229,0.019,0.02,0.395,22-07-2025,11:30:00
