,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
46,47,TMT-16 mm /SeQR-550D,C104183,Line-1--1,158,575,670,1.1652173913043478,18.75,0.2,0.86,0.214,0.015,0.016,0.3433333333333334,20-07-2025,11:11:00
47,48,TMT-16 mm /SeQR-550D,C104183,Line-1--3,158,603,693,1.1492537313432836,16.750000000000007,0.21,0.69,0.157,0.019,0.008,0.32499999999999996,20-07-2025,11:11:00
48,49,TMT-16 mm /SeQR-550D,C104183,Line-2--6,158,611,702,1.148936170212766,20.0,0.18,0.87,0.206,0.014,0.012,0.32499999999999996,20-07-2025,11:11:00
49,50,TMT-16 mm /SeQR-550D,C104183,Line-2--8,158,573,666,1.162303664921466,20.0,0.23,0.85,0.223,0.015,0.01,0.3716666666666667,20-07-2025,11:11:00
