,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
98,99,TMT-16 mm /EQR-500D,C104305,Line-2--2,179,580,686,1.1827586206896552,22.000000000000004,0.25,0.93,0.203,0.024,0.019,0.405,22-07-2025,16:18:00
99,100,TMT-16 mm /EQR-500D,C104305,Line-2--4,179,580,688,1.186206896551724,19.0,0.24,0.95,0.196,0.022,0.016,0.3983333333333333,22-07-2025,16:18:00
100,101,TMT-16 mm /EQR-500D,C104305,Line-1--1,179,549,656,1.1948998178506376,19.0,0.24,0.92,0.2,0.023,0.019,0.3933333333333333,22-07-2025,16:18:00
101,102,TMT-16 mm /EQR-500D,C104305,Line-1-3,179,559,665,1.1896243291592128,20.5,0.24,0.94,0.202,0.023,0.019,0.3966666666666666,22-07-2025,16:18:00
