,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
114,115,TMT-16 mm /EQR-500D,C104446,Line-2--2,552,564,676,1.198581560283688,23.0,0.25,0.84,0.21,0.024,0.013,0.39,23-07-2025,13:03:00
115,116,TMT-16 mm /EQR-500D,C104446,Line-2--4,552,573,686,1.1972076788830714,19.75,0.25,0.84,0.208,0.024,0.012,0.39,23-07-2025,13:03:00
116,117,TMT-16 mm /EQR-500D,C104446,Line-1--1,552,569,684,1.2021089630931459,16.499999999999996,0.24,0.86,0.204,0.024,0.01,0.3833333333333333,23-07-2025,13:03:00
117,118,TMT-16 mm /EQR-500D,C104446,Line-1-3,552,592,697,1.177364864864865,15.0,0.25,0.83,0.208,0.024,0.012,0.3883333333333333,23-07-2025,13:03:00
