,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
78,79,TMT-16 mm /EQR-500D,C104299,Line-1--1,186,589,678,1.1511035653650254,19.000000000000004,0.2,0.82,0.199,0.024,0.013,0.33666666666666667,22-07-2025,10:22:00
79,80,TMT-16 mm /EQR-500D,C104299,Line-1--3,186,590,679,1.1508474576271186,19.499999999999993,0.2,0.68,0.151,0.027,0.017,0.31333333333333335,22-07-2025,10:22:00
80,81,TMT-16 mm /EQR-500D,C104299,Line-2--6,186,581,674,1.1600688468158347,19.875000000000007,0.23,0.86,0.218,0.013,0.016,0.37333333333333335,22-07-2025,10:22:00
81,82,TMT-16 mm /EQR-500D,C104299,Line-2--8,186,577,666,1.1542461005199307,22.624999999999993,0.2,0.85,0.211,0.024,0.013,0.3416666666666667,22-07-2025,10:22:00
