,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
86,87,TMT-16 mm /EQR-500D,C104299,Line-1--1,296,576,672,1.1666666666666667,21.750000000000007,0.23,0.86,0.219,0.013,0.021,0.37333333333333335,22-07-2025,11:48:00
87,88,TMT-16 mm /EQR-500D,C104299,Line-1--3,296,585,698,1.1931623931623931,17.624999999999993,0.25,0.87,0.225,0.017,0.018,0.395,22-07-2025,11:48:00
88,89,TMT-16 mm /EQR-500D,C104299,Line-2--6,296,585,679,1.1606837606837608,21.0,0.23,0.87,0.221,0.023,0.02,0.375,22-07-2025,11:48:00
89,90,TMT-16 mm /EQR-500D,C104299,Line-2--8,296,577,675,1.169844020797227,21.624999999999996,0.23,0.86,0.218,0.022,0.021,0.37333333333333335,22-07-2025,11:48:00
