,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
8,9,TMT-16 mm /FE-550D,C104080,Line-2--2,152,593,714,1.2040472175379426,20.5,0.23,0.93,0.223,0.017,0.013,0.385,17-07-2025,15:35:00
9,10,TMT-16 mm /FE-550D,C104080,Line-2--4,152,587,708,1.2061328790459966,21.000000000000004,0.25,0.92,0.275,0.017,0.013,0.4033333333333333,17-07-2025,15:35:00
10,11,TMT-16 mm /FE-550D,C104080,Line-1--1,152,604,721,1.1937086092715232,20.375,0.26,0.92,0.274,0.018,0.014,0.41333333333333333,17-07-2025,15:35:00
11,12,TMT-16 mm /FE-550D,C104080,Line-1--3,152,597,716,1.1993299832495812,21.25,0.25,0.93,0.275,0.017,0.012,0.405,17-07-2025,15:35:00
