,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
38,39,TMT-16 mm /SeQR-550D,C104178,Line-1--1,36,619,719,1.1615508885298869,16.875,0.23,0.94,0.262,0.017,0.016,0.38666666666666666,20-07-2025,09:44:00
39,40,TMT-16 mm /SeQR-550D,C104178,Line-1--3,36,608,713,1.1726973684210527,18.900000000000006,0.23,0.96,0.283,0.017,0.014,0.39,20-07-2025,09:44:00
40,41,TMT-16 mm /SeQR-550D,C104178,Line-2--6,36,583,690,1.183533447684391,21.500000000000004,0.23,0.87,0.23,0.015,0.01,0.375,20-07-2025,09:44:00
41,42,TMT-16 mm /SeQR-550D,C104178,Line-2--8,36,570,681,1.194736842105263,22.5,0.23,0.86,0.22,0.009,0.011,0.37333333333333335,20-07-2025,09:44:00
