,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
62,63,TMT-16 mm /SeQR-550D,C104247,Line-2--2,347,608,710,1.167763157894737,20.25,0.23,0.84,0.219,0.01,0.014,0.37,21-07-2025,10:21:00
63,64,TMT-16 mm /SeQR-550D,C104247,Line-2--4,347,599,701,1.1702838063439065,20.5,0.24,0.84,0.232,0.011,0.015,0.38,21-07-2025,10:21:00
64,65,TMT-16 mm /SeQR-550D,C104247,Line-1--1,347,616,720,1.1688311688311688,17.625,0.23,0.85,0.231,0.012,0.015,0.3716666666666667,21-07-2025,10:21:00
65,66,TMT-16 mm /SeQR-550D,C104247,Line-1--3,347,614,717,1.1677524429967427,18.0,0.23,0.85,0.226,0.01,0.014,0.3716666666666667,21-07-2025,10:21:00
