,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
94,95,TMT-16 mm /EQR-500D,C104305,Line-1--1,348,569,680,1.195079086115993,18.874999999999993,0.25,0.81,0.228,0.015,0.023,0.385,22-07-2025,12:51:00
95,96,TMT-16 mm /EQR-500D,C104305,Line-1--3,348,580,684,1.1793103448275861,21.624999999999996,0.25,0.79,0.221,0.016,0.023,0.3816666666666667,22-07-2025,12:51:00
96,97,TMT-16 mm /EQR-500D,C104305,Line-2--6,348,568,678,1.193661971830986,18.499999999999996,0.25,0.81,0.227,0.011,0.022,0.385,22-07-2025,12:51:00
97,98,TMT-16 mm /EQR-500D,C104305,Line-2--8,348,562,672,1.195729537366548,19.250000000000007,0.25,0.82,0.237,0.015,0.023,0.38666666666666666,22-07-2025,12:51:00
