,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
32,33,TMT-16 mm /FE-550D,C104145,Line-2--2,131,574,666,1.1602787456445993,19.875000000000007,0.2,0.83,0.215,0.023,0.017,0.3383333333333334,19-07-2025,15:32:00
33,34,TMT-16 mm /FE-550D,C104145,Line-2--4,131,565,663,1.1734513274336282,18.874999999999993,0.2,0.85,0.22,0.025,0.018,0.3416666666666667,19-07-2025,15:32:00
34,35,TMT-16 mm /FE-550D,C104145,Line-1--1,131,594,683,1.1498316498316499,21.750000000000007,0.2,0.84,0.219,0.012,0.017,0.33999999999999997,19-07-2025,15:32:00
35,36,TMT-16 mm /FE-550D,C104145,Line-1--3,131,594,681,1.1464646464646464,23.625000000000007,0.22,0.93,0.258,0.015,0.016,0.375,19-07-2025,15:32:00
