,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
42,43,TMT-16 mm /SeQR-550D,C104183,Line-2--2,157,577,673,1.166377816291161,19.499999999999993,0.24,0.85,0.189,0.02,0.008,0.38166666666666665,20-07-2025,11:02:00
43,44,TMT-16 mm /SeQR-550D,C104183,Line-2--4,157,579,674,1.1640759930915372,20.999999999999996,0.2,0.86,0.225,0.018,0.018,0.3433333333333334,20-07-2025,11:02:00
44,45,TMT-16 mm /SeQR-550D,C104183,Line-1--1,157,615,706,1.1479674796747967,20.999999999999996,0.21,0.85,0.22,0.024,0.018,0.3516666666666667,20-07-2025,11:02:00
45,46,TMT-16 mm /SeQR-550D,C104183,Line-1--3,157,610,700,1.1475409836065573,18.75,0.24,0.83,0.183,0.02,0.008,0.3783333333333333,20-07-2025,11:02:00
