,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
20,21,TMT-16 mm /FE-550D,C104134,Line-1--1,351,601,705,1.173044925124792,21.749999999999996,0.22,0.87,0.209,0.023,0.013,0.365,19-07-2025,10:27:00
21,22,TMT-16 mm /FE-550D,C104134,Line-1--3,351,585,694,1.1863247863247863,22.5,0.22,0.88,0.215,0.023,0.014,0.3666666666666667,19-07-2025,10:27:00
22,23,TMT-16 mm /FE-550D,C104134,Line-2--6,351,560,667,1.1910714285714286,20.625,0.23,0.88,0.216,0.023,0.013,0.3766666666666667,19-07-2025,10:27:00
23,24,TMT-16 mm /FE-550D,C104134,Line-2--8,351,566,687,1.2137809187279152,17.625,0.23,0.89,0.22,0.023,0.014,0.37833333333333335,19-07-2025,10:27:00
