,Sl No. ,Profile/Grade,Heat No,Line/Bar No.,Billet No.,YS,UTS,UTS/YS,% El,C %,Mn %,Si %,P %,S %,CE ,Date,Time_raw
70,71,TMT-16 mm /SeQR-550D,C104252,Line-2--2,546,598,701,1.1722408026755853,21.0,0.24,0.85,0.223,0.019,0.013,0.38166666666666665,21-07-2025,12:53:00
71,72,TMT-16 mm /SeQR-550D,C104252,Line-2--4,546,601,705,1.173044925124792,20.5,0.23,0.85,0.201,0.017,0.02,0.3716666666666667,21-07-2025,12:53:00
72,73,TMT-16 mm /SeQR-550D,C104252,Line-1--1,546,612,712,1.1633986928104576,22.25,0.22,0.86,0.205,0.017,0.019,0.36333333333333334,21-07-2025,12:53:00
73,74,TMT-16 mm /SeQR-550D,C104252,Line-1--3,546,613,713,1.163132137030995,18.75,0.22,0.87,0.213,0.011,0.02,0.365,21-07-2025,12:53:00
