sample_time,yield_strength,sl_no,heat_no,line_bar_no,billet_no,uts,uts_ys_ratio,elongation,carbon,manganese,silicon,phosphorus,sulfur,carbon_equivalent,L1_bar_temperature_mean,L1_bar_temperature_std,L1_Bite_Duration,Line_2_bar_temp_before_cooling_bed_mean,Line_2_bar_temp_before_cooling_bed_std,L2_Bite_Duration,STAND_1_ENTRY_BILLET_TEMPERATURE_mean,STAND_1_ENTRY_BILLET_TEMPERATURE_std,L2_bar_temperature_before_TB_mean,L2_bar_temperature_before_TB_std,STAND_18_EXIT_PYROMETER_mean,STAND_18_EXIT_PYROMETER_std,BAR_TEMPERATURE_ON_COOLING_BED_mean,BAR_TEMPERATURE_ON_COOLING_BED_std,Discharging_Pyrometer_mean,Discharging_Pyrometer_std,BACK_END_TEMP_OF_BILLET_mean,BACK_END_TEMP_OF_BILLET_std,FRONT_END_TEMP_OF_BILLET_mean,FRONT_END_TEMP_OF_BILLET_std,L1_WB12_Input_PressureFilt_Q_mean,L1_WB12_Input_PressureFilt_Q_std,L1_WB12_Out_PressureFilt_Q_mean,L1_WB12_Out_PressureFilt_Q_std,L1_WB34_Input_PressureFilt_Q_mean,L1_WB34_Input_PressureFilt_Q_std,L1_WB34_Out_PressureFilt_Q_mean,L1_WB34_Out_PressureFilt_Q_std,L1_WB12_Actual_Flow_Rate_Q_mean,L1_WB12_Actual_Flow_Rate_Q_std,L1_WB34_Actual_Flow_Rate_Q_mean,L1_WB34_Actual_Flow_Rate_Q_std,L2_WB34_Input_PressureFilt_Q_mean,L2_WB34_Input_PressureFilt_Q_std,L2_WB34_Output_PressureFilt_Q_mean,L2_WB34_Output_PressureFilt_Q_std,L2_WB12_Input_PressureFilt_Q_mean,L2_WB12_Input_PressureFilt_Q_std,L2_WB12__ActualFlowRate_Q_mean,L2_WB12__ActualFlowRate_Q_std,L2_WB34_Actual_FlowRate_Q_mean,L2_WB34_Actual_FlowRate_Q_std,L2_WB12_Output_PressureFilt_Q_mean,L2_WB12_Output_PressureFilt_Q_std
2025-07-17 13:05:00,600.0,1.0,C104082,Line-2--2,240.0,705.0,1.175,21.25,0.23,0.91,0.225,0.017,0.014,0.3816666666666667,227.32723000000001,280.943568994439,17.434666,410.2369375862069,162.00675012194597,17.434666,1020.3551721264369,32.998858918774076,186.70440646551722,270.78830165166363,1036.0890499999998,6.694717101949097,0.0,0.0,555.478396954023,220.59832650468644,1182.2582117816094,0.08329945081648102,1142.0887022988504,0.1720879888385346,13.673401593390803,0.0696426351419621,12.746128008620689,0.09041410629237982,13.673401593390803,0.0696426351419621,12.736774870689654,0.09109139708790856,416.8741202011494,6.10989487621134,448.5662836781609,5.723745565826289,13.687657702586206,0.06923801019500482,13.158823844827584,0.07690953849575506,13.687657702586206,0.06923801019500482,464.56275574712635,2.319133770334847,426.5816229310344,4.090333105187184,13.277384170977012,0.07213571147035645
2025-07-17 13:05:00,599.0,2.0,C104082,Line-2--4,240.0,700.0,1.1686143572621035,21.125,0.23,0.93,0.22,0.016,0.011,0.385,227.32723000000001,280.943568994439,17.434666,410.2369375862069,162.00675012194597,17.434666,1020.3551721264369,32.998858918774076,186.70440646551722,270.78830165166363,1036.0890499999998,6.694717101949097,0.0,0.0,555.478396954023,220.59832650468644,1182.2582117816094,0.08329945081648102,1142.0887022988504,0.1720879888385346,13.673401593390803,0.0696426351419621,12.746128008620689,0.09041410629237982,13.673401593390803,0.0696426351419621,12.736774870689654,0.09109139708790856,416.8741202011494,6.10989487621134,448.5662836781609,5.723745565826289,13.687657702586206,0.06923801019500482,13.158823844827584,0.07690953849575506,13.687657702586206,0.06923801019500482,464.56275574712635,2.319133770334847,426.5816229310344,4.090333105187184,13.277384170977012,0.07213571147035645
2025-07-17 13:05:00,609.0,3.0,C104082,Line-1--1,240.0,712.0,1.1691297208538587,20.625,0.22,0.93,0.23,0.018,0.014,0.375,227.32723000000001,280.943568994439,17.434666,410.2369375862069,162.00675012194597,17.434666,1020.3551721264369,32.998858918774076,186.70440646551722,270.78830165166363,1036.0890499999998,6.694717101949097,0.0,0.0,555.478396954023,220.59832650468644,1182.2582117816094,0.08329945081648102,1142.0887022988504,0.1720879888385346,13.673401593390803,0.0696426351419621,12.746128008620689,0.09041410629237982,13.673401593390803,0.0696426351419621,12.736774870689654,0.09109139708790856,416.8741202011494,6.10989487621134,448.5662836781609,5.723745565826289,13.687657702586206,0.06923801019500482,13.158823844827584,0.07690953849575506,13.687657702586206,0.06923801019500482,464.56275574712635,2.319133770334847,426.5816229310344,4.090333105187184,13.277384170977012,0.07213571147035645
2025-07-17 13:05:00,596.0,4.0,C104082,Line-1--3,240.0,698.0,1.1711409395973154,21.125,0.23,0.94,0.235,0.009,0.013,0.3866666666666666,227.32723000000001,280.943568994439,17.434666,410.2369375862069,162.00675012194597,17.434666,1020.3551721264369,32.998858918774076,186.70440646551722,270.78830165166363,1036.0890499999998,6.694717101949097,0.0,0.0,555.478396954023,220.59832650468644,1182.2582117816094,0.08329945081648102,1142.0887022988504,0.1720879888385346,13.673401593390803,0.0696426351419621,12.746128008620689,0.09041410629237982,13.673401593390803,0.0696426351419621,12.736774870689654,0.09109139708790856,416.8741202011494,6.10989487621134,448.5662836781609,5.723745565826289,13.687657702586206,0.06923801019500482,13.158823844827584,0.07690953849575506,13.687657702586206,0.06923801019500482,464.56275574712635,2.319133770334847,426.5816229310344,4.090333105187184,13.277384170977012,0.07213571147035645
2025-07-17 13:20:00,607.0,5.0,C104082,Line-1--1,241.0,709.0,1.1680395387149918,21.75,0.23,0.94,0.228,0.017,0.013,0.3866666666666666,192.17950231336408,270.24838975946676,21.724771,388.6652822119816,156.1564170519417,21.724771,992.7863469354838,42.255326510981256,164.11246482027647,260.2481856033899,1028.1141855069125,6.447229625138115,0.0,0.0,658.4915808986174,281.6452412908979,1161.8051914746543,0.30315940097294597,1164.9563133640554,0.7369487789999195,13.612148837557605,0.07063743715008591,12.692233777649768,0.09014603878807319,13.612148837557605,0.07063743715008591,12.684436543778805,0.09178423537835273,415.39028550691245,6.0635958082374435,446.42512917050686,5.544638846229825,13.625999915898618,0.06981738655555979,13.100442845622117,0.0779921548358572,13.625999915898618,0.06981738655555979,461.7564252764977,1.8539535428886622,424.761752235023,3.887637213787956,13.22024719470046,0.07174282520255647
2025-07-17 13:20:00,597.0,6.0,C104082,Line-1--3,241.0,700.0,1.1725293132328307,20.75,0.23,0.94,0.231,0.017,0.014,0.3866666666666666,192.17950231336408,270.24838975946676,21.724771,388.6652822119816,156.1564170519417,21.724771,992.7863469354838,42.255326510981256,164.11246482027647,260.2481856033899,1028.1141855069125,6.447229625138115,0.0,0.0,658.4915808986174,281.6452412908979,1161.8051914746543,0.30315940097294597,1164.9563133640554,0.7369487789999195,13.612148837557605,0.07063743715008591,12.692233777649768,0.09014603878807319,13.612148837557605,0.07063743715008591,12.684436543778805,0.09178423537835273,415.39028550691245,6.0635958082374435,446.42512917050686,5.544638846229825,13.625999915898618,0.06981738655555979,13.100442845622117,0.0779921548358572,13.625999915898618,0.06981738655555979,461.7564252764977,1.8539535428886622,424.761752235023,3.887637213787956,13.22024719470046,0.07174282520255647
2025-07-17 13:20:00,599.0,7.0,C104082,Line-2--6,241.0,695.0,1.1602671118530885,21.125,0.24,0.92,0.263,0.017,0.011,0.3933333333333333,192.17950231336408,270.24838975946676,21.724771,388.6652822119816,156.1564170519417,21.724771,992.7863469354838,42.255326510981256,164.11246482027647,260.2481856033899,1028.1141855069125,6.447229625138115,0.0,0.0,658.4915808986174,281.6452412908979,1161.8051914746543,0.30315940097294597,1164.9563133640554,0.7369487789999195,13.612148837557605,0.07063743715008591,12.692233777649768,0.09014603878807319,13.612148837557605,0.07063743715008591,12.684436543778805,0.09178423537835273,415.39028550691245,6.0635958082374435,446.42512917050686,5.544638846229825,13.625999915898618,0.06981738655555979,13.100442845622117,0.0779921548358572,13.625999915898618,0.06981738655555979,461.7564252764977,1.8539535428886622,424.761752235023,3.887637213787956,13.22024719470046,0.07174282520255647
2025-07-17 13:20:00,595.0,8.0,C104082,Line-2--8,241.0,687.0,1.1546218487394957,22.125,0.23,0.93,0.225,0.017,0.013,0.385,192.17950231336408,270.24838975946676,21.724771,388.6652822119816,156.1564170519417,21.724771,992.7863469354838,42.255326510981256,164.11246482027647,260.2481856033899,1028.1141855069125,6.447229625138115,0.0,0.0,658.4915808986174,281.6452412908979,1161.8051914746543,0.30315940097294597,1164.9563133640554,0.7369487789999195,13.612148837557605,0.07063743715008591,12.692233777649768,0.09014603878807319,13.612148837557605,0.07063743715008591,12.684436543778805,0.09178423537835273,415.39028550691245,6.0635958082374435,446.42512917050686,5.544638846229825,13.625999915898618,0.06981738655555979,13.100442845622117,0.0779921548358572,13.625999915898618,0.06981738655555979,461.7564252764977,1.8539535428886622,424.761752235023,3.887637213787956,13.22024719470046,0.07174282520255647
2025-07-17 15:35:00,593.0,9.0,C104080,Line-2--2,152.0,714.0,1.2040472175379426,20.5,0.23,0.93,0.223,0.017,0.013,0.385,0.0,0.0,8.6,257.9748816184971,9.51825989242218,8.6,1044.704120231214,15.86791420851627,0.0,0.0,1020.4941572254335,3.1393565306524818,0.0,0.0,448.64637127167623,0.0033282785202330438,1175.0042352601154,0.045232354577879476,1158.5019213872833,0.02256903760751832,13.59956465895954,0.09345179555117002,12.667071690751445,0.11496926314446321,13.59956465895954,0.09345179555117002,12.625971005780345,0.11738850034708832,418.601810867052,5.27527454977286,452.54520098265897,5.564433274474577,13.612366179190747,0.09229714822624449,13.079567381502889,0.10126750568692452,13.612366179190747,0.09229714822624449,463.6756084393064,4.081802112584217,429.1760410982658,4.108949000697087,13.211828095375724,0.09930920658221679
2025-07-17 15:35:00,587.0,10.0,C104080,Line-2--4,152.0,708.0,1.2061328790459966,21.000000000000004,0.25,0.92,0.275,0.017,0.013,0.4033333333333333,0.0,0.0,8.6,257.9748816184971,9.51825989242218,8.6,1044.704120231214,15.86791420851627,0.0,0.0,1020.4941572254335,3.1393565306524818,0.0,0.0,448.64637127167623,0.0033282785202330438,1175.0042352601154,0.045232354577879476,1158.5019213872833,0.02256903760751832,13.59956465895954,0.09345179555117002,12.667071690751445,0.11496926314446321,13.59956465895954,0.09345179555117002,12.625971005780345,0.11738850034708832,418.601810867052,5.27527454977286,452.54520098265897,5.564433274474577,13.612366179190747,0.09229714822624449,13.079567381502889,0.10126750568692452,13.612366179190747,0.09229714822624449,463.6756084393064,4.081802112584217,429.1760410982658,4.108949000697087,13.211828095375724,0.09930920658221679
